Company,Instrument,Credit Rating,1Y Range,% Assets
10.5% Prestige Estates Projects 2023,Non Convertible Debenture,A+,2.13 - 2.29,2.25
Adarsh Advisory Services Pvt. 2021,Zero Coupon Bonds,A,1.67 - 1.92,1.92
11.51% Ardour Developers 2020,Bonds/Debentures,Unrated,1.69 - 1.85,1.83
11.51% Kalpataru Properties Thane 2021,Non Convertible Debenture,Unrated,1.72 - 1.86,1.83
10.27% Clix Capital Services 2021,Non Convertible Debenture,AA-,1.69 - 1.85,1.82
7.9% Nirma 2020,Debenture,AA,1.69 - 1.84,1.82
Adarsh Advisory Services Pvt. 2022,Zero Coupon Bonds,A,1.57 - 1.81,1.81
9.75% Jamnagar Utilities and Power 2024,Debenture,AAA,1.65 - 1.83,1.79
9.7% Coastal Gujarat Power 2023,Non Convertible Debenture,AA,0.00 - 1.77,1.75
SREI Equipment Finance,Zero Coupon Bonds,AAA,0.82 - 2.52,1.71
9.45% Vedanta 2020,Debenture,AA,1.59 - 1.71,1.69
Jay Properties 2020,Debenture,BBB-,0.00 - 2.45,1.68
11.5% Sterlite Power Grid Ventures 2022,Non Convertible Debenture,A+,0.00 - 1.65,1.62
Sahyadri Agencies Ltd. 2019,Zero Coupon Bonds,A,0.00 - 1.50,1.5
8.5% Vedanta 2021,Debenture,AA,1.49 - 1.77,1.49
10.25% RBL Bank 2022,Debenture,AA-,1.30 - 1.41,1.38
11.4% Prestige Estates Projects 2020,Bonds/Debentures,A+,1.30 - 1.39,1.38
TMF Holdings 2022,Zero Coupon Bonds,AA-,0.00 - 1.37,1.37
464. ICICI Prudential Fixed Maturity Plan - Series 73 - 1140 Days - Plan E,,,,
Sundaram Bnp Paribas Home Finance 2020,Zero Coupon Bonds,AA+,0.00 - 8.67,8.59
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,8.17 - 8.77,8.17
8.29% Century Textiles & Inds. 2020,Bonds,AA,8.17 - 8.81,8.17
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,8.17 - 8.74,8.17
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,8.07 - 8.70,8.07
8.71% Bombay Burmah 2020,Debenture,AA,8.05 - 8.62,8.05
8.45% TGS Investment & Trade 2020,Debenture,AA-,0.00 - 8.19,8.01
9.72% JSW Steel 2019,Debenture,AA,7.82 - 8.54,7.82
8.53% TRIL IT4 2020,Debenture,A+,0.00 - 7.35,7.1
7.9% Nirma 2020,Debenture,AA,5.48 - 5.89,5.48
9% Muthoot Finance 2020,Debenture,AA,4.01 - 4.32,4.01
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 3.14,3.1
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.14,0.14
465. ICICI Prudential Fixed Maturity Plan - Series 74 - 9 Years - Plan U,,,,
7.16% GOI 2023,Central Government Loan,SOV,77.96 - 82.66,77.96
8.62% Maharashtra State 2023,State Development Loan,SOV,6.55 - 6.96,6.55
8.53% Jammu & Kashmir State 2022,State Development Loan,SOV,4.82 - 5.20,4.82
7.37% GOI 2023,GOI Securities,SOV,0.00 - 3.35,3.21
8.65% Karnataka State 2023,State Development Loan,SOV,0.00 - 1.52,1.48
466. ICICI Prudential Fixed Maturity Plan - Series 79 - 1404 Days - Plan T,,,,
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,31.08 - 33.49,31.08
8.01% Rajasthan State 2020,State Development Loan,SOV,11.78 - 12.68,11.78
7.9% Bajaj Finance 2020,Zero Coupon Bonds,AAA,9.02 - 9.11,9.11
8.6% LIC Housing Fin. 2020,Debenture,AAA,8.94 - 9.54,8.94
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,8.93 - 9.59,8.93
8.7% HDFC 2020,Debenture,AAA,8.93 - 9.56,8.93
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 6.18,6.18
8.13% Uttar Pradesh State 2020,State Development Loan,SOV,3.54 - 3.81,3.54
7.59% REC 2020,Debenture,AAA,0.00 - 2.85,2.8
7.7% HDB Financial Services 2020,Debenture,AAA,2.80 - 2.97,2.8
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,2.34 - 2.52,2.34
8.13% Power Grid Corporation 2020,Debenture,AAA,0.70 - 0.76,0.7
8.5% IRFC 2020,Bonds,AAA,0.24 - 0.25,0.24
467. ICICI Prudential Fixed Maturity Plan - Series 80 1100 Days Plan A,,,,
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 24.00,23.99
9.04% REC 2019,Bonds,AAA,0.00 - 8.74,8.74
Punjab & Sind Bank 2019,Certificate of Deposit,A1+,0.00 - 8.74,8.74
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 8.74,8.74
Corporation Bank 2019,Certificate of Deposit,A1+,0.00 - 8.74,8.74
468. ICICI Prudential Fixed Maturity Plan - Series 80 1125 Days Plan S,,,,
8.49% HDFC 2020,Debenture,AAA,0.00 - 8.75,8.25
8.29% Century Textiles & Inds. 2020,Bonds,AA,7.87 - 8.46,7.87
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,7.86 - 8.39,7.86
9% Muthoot Finance 2020,Debenture,AA,7.84 - 8.43,7.84
9.87% Afcons Infrastructure 2020,Debenture,AA,7.60 - 8.25,7.6
9.72% JSW Steel 2019,Debenture,AA,7.59 - 8.26,7.59
Prism Johnson 2020,Debenture,A-,7.52 - 8.19,7.52
8.13% Power Grid Corporation 2020,Debenture,AAA,0.00 - 6.71,6.6
9.25% Incline Realty Pvt Ltd. 2020,Bonds/Debentures,AA+,3.28 - 3.54,3.28
8.45% TGS Investment & Trade 2020,Debenture,AA-,0.00 - 3.33,3.27
7.57% Can Fin Homes 2020,Non Convertible Debenture,AA+,0.00 - 3.38,3.26
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 1.94,1.92
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 1.46,1.46
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 1.37,1.32
Silica Ceramica 2020,Bonds/Debentures,A,0.00 - 1.38,1.31
469. ICICI Prudential Fixed Maturity Plan - Series 80 1138 Days Plan R,,,,
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,8.23 - 8.80,8.23
Prism Johnson 2020,Debenture,A-,8.22 - 8.96,8.22
9% Muthoot Finance 2020,Debenture,AA,8.22 - 8.83,8.22
9.87% Afcons Infrastructure 2020,Debenture,AA,8.02 - 8.71,8.02
9.72% JSW Steel 2019,Debenture,AA,8.01 - 8.72,8.01
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,7.98 - 8.60,7.98
8.61% LIC Housing Fin. 2019,Debenture,AAA,5.71 - 6.15,5.71
Sundaram Bnp Paribas Home Finance 2020,Zero Coupon Bonds,AA+,0.00 - 4.71,4.68
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,3.92 - 4.20,3.92
Inox Air Products 2019,Debenture,AA,3.89 - 4.26,3.89
8.71% Bombay Burmah 2020,Debenture,AA,3.42 - 3.65,3.42
9.25% Incline Realty Pvt Ltd. 2020,Bonds/Debentures,AA+,2.85 - 3.07,2.85
8.53% TRIL IT4 2020,Debenture,A+,0.00 - 1.47,1.42
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 1.13,1.13
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 2.56,1
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 0.83,0.8
470. ICICI Prudential Fixed Maturity Plan - Series 80 1150 Days Plan N,,,,
7.57% Can Fin Homes 2020,Non Convertible Debenture,AA+,0.00 - 9.00,8.7
9.87% Afcons Infrastructure 2020,Debenture,AA,7.83 - 8.51,7.83
9.72% JSW Steel 2019,Debenture,AA,7.82 - 8.52,7.82
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,7.79 - 8.40,7.79
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,7.76 - 8.30,7.76
Prism Johnson 2020,Debenture,A-,7.75 - 8.45,7.75
9% Muthoot Finance 2020,Debenture,AA,7.74 - 8.33,7.74
Inox Air Products 2019,Debenture,AA,7.62 - 8.34,7.62
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,4.76 - 5.10,4.76
Sundaram Bnp Paribas Home Finance 2020,Zero Coupon Bonds,AA+,0.00 - 4.69,4.67
9.25% Incline Realty Pvt Ltd. 2020,Bonds/Debentures,AA+,3.89 - 4.19,3.89
8.53% TRIL IT4 2020,Debenture,A+,0.00 - 3.40,3.4
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 2.48,2.46
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 1.59,1.59
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 0.91,0.88
471. ICICI Prudential Fixed Maturity Plan - Series 80 1170 Days Plan I,,,,
8.19% Tata Housing Devp. Co. 2019,Bonds/Debentures,AA,7.76 - 8.32,7.76
Prism Johnson 2020,Debenture,A-,7.56 - 8.25,7.56
9.87% Afcons Infrastructure 2020,Debenture,AA,7.46 - 8.12,7.46
9.72% JSW Steel 2019,Debenture,AA,7.45 - 8.13,7.45
Inox Air Products 2019,Debenture,AA,7.36 - 8.07,7.36
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,6.99 - 7.54,6.99
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,6.97 - 7.47,6.97
9% Muthoot Finance 2020,Debenture,AA,6.95 - 7.48,6.95
Sundaram Bnp Paribas Home Finance 2020,Zero Coupon Bonds,AA+,0.00 - 6.57,6.51
9.25% Incline Realty Pvt Ltd. 2020,Bonds/Debentures,AA+,4.36 - 4.71,4.36
7.2% LIC Housing Fin. 2020,Debenture,AAA,0.00 - 3.86,3.66
8.53% TRIL IT4 2020,Debenture,A+,0.00 - 3.78,3.66
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 2.42,2.42
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.95,1.93
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 0.82,0.79
7.57% Can Fin Homes 2020,Non Convertible Debenture,AA+,0.00 - 0.54,0.52
472. ICICI Prudential Fixed Maturity Plan - Series 80 1187 Days Plan G,,,,
8.21% Rajasthan State 2020,State Development Loan,SOV,24.87 - 39.46,39.22
Bajaj Finance 2020,Debenture,AAA,12.01 - 12.13,12.13
HDFC 2020,Deep Discount Bonds,AAA,9.75 - 9.79,9.79
7.58% LIC Housing Fin. 2020,Debenture,AAA,9.75 - 10.35,9.75
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,9.53 - 10.23,9.53
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 5.89,5.88
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,4.20 - 4.51,4.2
7.9% Tata Sons 2020,Debenture,AAA,2.68 - 2.85,2.68
7.85% Tata Sons 2020,Bonds/Debentures,AAA,2.19 - 2.34,2.19
1.5% HDFC 2020,Debenture,AAA,0.99 - 1.09,0.99
8.54% Haryana State 2020,State Development Loan,SOV,0.25 - 0.27,0.25
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 0.14,0.14
473. ICICI Prudential Fixed Maturity Plan - Series 80 1194 Days Plan F,,,,
8.39% Rajasthan State 2020,State Development Loan,SOV,33.02 - 35.74,33.02
Bajaj Finance 2020,Debenture,AAA,11.65 - 11.77,11.77
1.5% HDFC 2020,Debenture,AAA,9.77 - 10.68,9.77
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,9.63 - 10.33,9.63
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 6.34,6.09
8.68% LIC Housing Fin. 2020,Debenture,AAA,5.08 - 5.43,5.08
8.4% Uttar Pradesh State 2020,State Development Loan,SOV,5.08 - 5.50,5.08
8.02% LIC Housing Fin. 2020,Debenture,AAA,4.55 - 4.85,4.55
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,4.35 - 4.68,4.35
7.85% Tata Sons 2020,Bonds/Debentures,AAA,3.53 - 3.76,3.53
8.33% Gujarat State 2020,State Development Loan,SOV,1.96 - 2.13,1.96
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 0.86,0.86
8.7% NHPC 2020,Bonds,AAA,0.51 - 0.55,0.51
7.9% Tata Sons 2020,Debenture,AAA,0.51 - 0.54,0.51
7.25% SIDBI 2020,Bonds,AAA,0.05 - 0.05,0.05
474. ICICI Prudential Fixed Maturity Plan - Series 80 1216 Days Plan U,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,41.17 - 44.31,41.17
7.9% Tata Sons 2020,Debenture,AAA,9.68 - 10.33,9.68
8.68% LIC Housing Fin. 2020,Debenture,AAA,9.58 - 10.26,9.58
1.5% HDFC 2020,Debenture,AAA,9.24 - 10.13,9.24
Kotak Mahindra Prime 2020,Debenture,AAA,5.44 - 5.49,5.49
7.25% SIDBI 2020,Bonds,AAA,5.29 - 5.64,5.29
7.42% Power Finance Corp. 2020,Debenture,AAA,4.53 - 4.82,4.53
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 3.70,3.7
8.11% Andhra Pradesh State 2020,State Development Loan,SOV,3.06 - 4.94,3.06
7.59% REC 2020,Debenture,AAA,0.00 - 2.62,2.57
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 1.55,1.52
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.26,1.21
475. ICICI Prudential Fixed Maturity Plan - Series 80 1225 Days Plan T,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,39.96 - 43.03,39.96
Bajaj Finance 2020,Debenture,AAA,11.37 - 11.51,11.5
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 9.90,9.9
1.5% HDFC 2020,Debenture,AAA,9.68 - 10.62,9.68
7.9% Tata Sons 2020,Debenture,AAA,9.11 - 9.73,9.11
7.42% Power Finance Corp. 2020,Debenture,AAA,6.41 - 6.83,6.41
7.78% LIC Housing Fin. 2020,Debenture,AAA,3.96 - 4.21,3.96
SIDBI 2020,Debenture,A1+,0.00 - 2.62,2.17
7.25% SIDBI 2020,Bonds,AAA,1.98 - 2.11,1.98
8.32% Punjab State 2020,State Development Loan,SOV,1.45 - 1.56,1.45
7.52% LIC Housing Fin. 2020,Debenture,AAA,0.71 - 0.76,0.71
9.25% Power Grid Corporation 2019,Bonds,AAA,0.50 - 0.54,0.5
7.55% HDB Financial Services 2020,Bonds,AAA,0.40 - 0.42,0.4
476. ICICI Prudential Fixed Maturity Plan - Series 80 1227 Days Plan Q,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,39.62 - 42.66,39.62
1.5% HDFC 2020,Debenture,AAA,9.60 - 10.53,9.6
7.9% Tata Sons 2020,Debenture,AAA,9.43 - 10.07,9.43
8.68% LIC Housing Fin. 2020,Debenture,AAA,9.09 - 9.74,9.09
8.7% Power Finance Corp. 2020,Bonds,AAA,6.71 - 7.24,6.71
Bajaj Finance 2020,Debenture,AAA,6.12 - 6.19,6.19
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 4.25,4.25
7.59% REC 2020,Debenture,AAA,0.00 - 3.12,3.06
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 2.41,2.38
7.25% SIDBI 2020,Bonds,AAA,2.35 - 3.35,2.35
8.16% Tamilnadu State 2020,State Development Loan,SOV,1.59 - 1.71,1.59
8.13% Uttar Pradesh State 2020,State Development Loan,SOV,1.19 - 1.28,1.19
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.99,0.94
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 0.74,0.71
7.42% REC 2020,Bonds,AAA,0.00 - 0.08,0.08
477. ICICI Prudential Fixed Maturity Plan - Series 80 1231 Days Plan P,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,42.99 - 46.30,42.99
Bajaj Finance 2020,Debenture,AAA,11.08 - 11.20,11.2
1.5% HDFC 2020,Debenture,AAA,9.83 - 10.78,9.83
7.9% Tata Sons 2020,Debenture,AAA,9.65 - 10.31,9.65
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,9.14 - 9.83,9.14
7.25% SIDBI 2020,Bonds,AAA,2.81 - 3.00,2.81
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 2.46,2.46
8.16% Tamilnadu State 2020,State Development Loan,SOV,2.44 - 2.63,2.44
7.59% REC 2020,Debenture,AAA,0.00 - 2.46,2.41
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.98,1.87
8.13% Uttar Pradesh State 2020,State Development Loan,SOV,1.63 - 1.75,1.63
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,1.13 - 1.22,1.13
SIDBI 2020,Debenture,A1+,0.00 - 0.99,0.08
478. ICICI Prudential Fixed Maturity Plan - Series 80 1233 Days Plan O,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,42.74 - 45.95,42.74
7.85% Tata Sons 2020,Bonds/Debentures,AAA,9.66 - 10.31,9.66
1.5% HDFC 2020,Debenture,AAA,9.28 - 10.15,9.28
8.7% Power Finance Corp. 2020,Bonds,AAA,8.45 - 9.10,8.45
8.02% LIC Housing Fin. 2020,Debenture,AAA,7.01 - 7.49,7.01
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 5.53,5.53
8.87% REC 2020,Bonds,AAA,3.17 - 3.42,3.17
7.59% REC 2020,Debenture,AAA,0.00 - 2.71,2.66
7.25% SIDBI 2020,Bonds,AAA,2.45 - 2.61,2.45
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.80,1.7
8.13% Uttar Pradesh State 2020,State Development Loan,SOV,1.42 - 1.52,1.42
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 1.25,1.2
7.77% Bajaj Finance 2020,Bonds,AAA,0.77 - 0.82,0.77
7.42% Power Finance Corp. 2020,Debenture,AAA,0.70 - 0.74,0.7
479. ICICI Prudential Fixed Maturity Plan - Series 80 1245 Days Plan L,,,,
8.01% Rajasthan State 2020,State Development Loan,SOV,34.02 - 36.57,34.02
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 9.90,9.9
7.52% LIC Housing Fin. 2020,Debenture,AAA,9.81 - 10.39,9.81
1.5% HDFC 2020,Debenture,AAA,8.33 - 9.12,8.33
7.85% Tata Sons 2020,Bonds/Debentures,AAA,8.17 - 8.72,8.17
8.87% REC 2020,Bonds,AAA,7.19 - 7.77,7.19
8.16% Tamilnadu State 2020,State Development Loan,SOV,6.21 - 6.67,6.21
8.5% IRFC 2020,Bonds,AAA,4.13 - 4.44,4.13
SIDBI 2020,Debenture,A1+,0.00 - 2.13,2.13
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,2.06 - 2.21,2.06
7.55% HDB Financial Services 2020,Bonds,AAA,2.04 - 2.16,2.04
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 1.29,1.23
480. ICICI Prudential Fixed Maturity Plan - Series 80 1248 Days Plan D,,,,
8.75% HDFC 2020,Debenture,AAA,0.00 - 9.21,9.21
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 9.09,9.09
7.57% Can Fin Homes 2020,Non Convertible Debenture,AA+,0.00 - 8.96,8.76
Sadbhav Infrastructure Project 2020,Debenture,A,0.00 - 8.07,7.69
10% Avenue Supermarts 2019,Debenture,AA+,7.36 - 8.01,7.36
9.5% Blue Dart Express 2019,Bonds/NCDs,AA,7.35 - 7.94,7.35
9.72% JSW Steel 2019,Debenture,AA,6.92 - 7.50,6.92
Inox Air Products 2019,Debenture,AA,6.46 - 7.03,6.46
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 6.43,6.43
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 4.48,4.48
6.54% Export-Import Bank 2019,Bonds,AAA,0.00 - 4.45,4.4
8.19% Tata Housing Devp. Co. 2019,Bonds/Debentures,AA,3.67 - 3.91,3.67
Sundaram Bnp Paribas Home Finance 2020,Zero Coupon Bonds,AA+,0.00 - 3.52,3.52
481. ICICI Prudential Fixed Maturity Plan - Series 80 1253 Days Plan J,,,,
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 13.08,12.91
1.5% HDFC 2020,Debenture,AAA,9.92 - 10.87,9.92
7.52% LIC Housing Fin. 2020,Debenture,AAA,9.88 - 10.49,9.88
7.85% Tata Sons 2020,Bonds/Debentures,AAA,9.73 - 10.40,9.73
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,9.54 - 10.24,9.54
8.16% Tamilnadu State 2020,State Development Loan,SOV,7.24 - 7.80,7.24
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 6.31,6.31
8.17% West Bengal State 2020,State Development Loan,SOV,6.22 - 6.70,6.22
8.19% Uttar Pradesh State 2020,State Development Loan,SOV,4.15 - 4.46,4.15
8.11% West Bengal State 2020,State Development Loan,SOV,3.11 - 3.35,3.11
8.15% Rajasthan State 2020,State Development Loan,SOV,2.59 - 2.79,2.59
8.15% Tamilnadu State 2020,State Development Loan,SOV,2.57 - 2.77,2.57
7.25% SIDBI 2020,Bonds,AAA,2.05 - 3.27,2.05
8.18% Andhra Pradesh State 2020,State Development Loan,SOV,1.82 - 1.95,1.82
8.09% Maharashtra State 2020,State Development Loan,SOV,1.55 - 7.25,1.55
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 1.51,1.44
7.55% HDB Financial Services 2020,Bonds,AAA,1.28 - 1.35,1.28
8.09% Tamilnadu State 2020,State Development Loan,SOV,1.26 - 6.94,1.26
3% HDB Financial Services 2020,Debenture,AAA,0.91 - 0.92,0.92
9.25% Power Grid Corporation 2019,Bonds,AAA,0.84 - 0.91,0.84
7.59% REC 2020,Debenture,AAA,0.00 - 0.73,0.72
8.13% Uttar Pradesh State 2020,State Development Loan,SOV,0.52 - 0.56,0.52
SIDBI 2020,Debenture,A1+,0.00 - 2.08,0.19
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,0.10 - 0.11,0.1
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.11,0.1
482. ICICI Prudential Fixed Maturity Plan - Series 81 1100 Days Plan O,,,,
Mahindra World City (Jaipur) 2020,Debenture,AA-,10.02 - 10.24,10.08
8.71% Bombay Burmah 2020,Debenture,AA,8.38 - 8.96,8.38
8.15% Kribhco Infrastructure 2020,Debenture,AA,8.37 - 8.93,8.37
8.29% Century Textiles & Inds. 2020,Bonds,AA,8.36 - 9.00,8.36
8.4% Promont Hillside 2020,Debenture,AA,8.31 - 8.92,8.31
8.75% Muthoot Finance 2020,Debenture,AA,8.31 - 8.90,8.31
8.95% Crompton Greaves Consumer Electricals 2020,Debenture,AA+,0.00 - 8.50,8.1
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 6.02,5.65
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,5.60 - 6.03,5.6
7.87% Tata Capital Financial Services 2020,Debenture,AAA,5.31 - 5.64,5.31
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,1.67 - 1.79,1.67
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 1.18,1.12
483. ICICI Prudential Fixed Maturity Plan - Series 81 1100 Days Plan R,,,,
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 9.64,9.03
Mahindra World City (Jaipur) 2020,Debenture,AA-,8.28 - 8.37,8.32
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,8.13 - 8.77,8.13
8.71% Bombay Burmah 2020,Debenture,AA,8.12 - 8.69,8.12
9.45% Vedanta 2020,Debenture,AA,8.10 - 8.78,8.1
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,8.10 - 8.67,8.1
8.4% Promont Hillside 2020,Debenture,AA,8.05 - 8.65,8.05
8.75% Muthoot Finance 2020,Debenture,AA,8.05 - 8.63,8.05
8.9% JM Financial Products 2020,Bonds/NCDs,AA,7.96 - 8.60,7.96
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 6.84,6.5
8.15% Kribhco Infrastructure 2020,Debenture,AA,5.41 - 5.78,5.41
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 3.61,3.58
SIDBI 2020,Debenture,A1+,0.00 - 3.63,1.28
484. ICICI Prudential Fixed Maturity Plan - Series 81 1100 Days Plan W,,,,
Mahindra World City (Jaipur) 2020,Debenture,AA-,9.42 - 9.46,9.46
8.15% Kribhco Infrastructure 2020,Debenture,AA,8.49 - 9.08,8.49
7.82% Godrej Properties 2020,Bonds/Debentures,AA,8.35 - 8.97,8.35
8.8% JM Financial Products 2020,Bonds/Debentures,AA,8.27 - 8.98,8.27
8.95% Crompton Greaves Consumer Electricals 2020,Debenture,AA+,0.00 - 8.09,7.79
9.45% Vedanta 2020,Debenture,AA,7.77 - 8.43,7.77
9% Muthoot Finance 2020,Debenture,AA,7.75 - 8.36,7.75
8.4% Promont Hillside 2020,Debenture,AA,7.73 - 8.31,7.73
8.57% NUVOCO Vistas Corp. 2020,Debenture,AA,0.00 - 7.39,7.36
8.6% LIC Housing Fin. 2020,Debenture,AAA,7.15 - 7.64,7.15
7% Mahindra Integrated Township 2020,Bonds/Debentures,AA-,5.55 - 5.85,5.55
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 3.65,3.47
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 1.52,1.51
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.53,1.43
8.13% Power Grid Corporation 2020,Debenture,AAA,0.00 - 1.44,1.42
7.13% REC 2020,Bonds,AAA,0.00 - 1.00,0.99
SIDBI 2020,Debenture,A1+,0.00 - 0.74,0.74
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 0.74,0.71
7.4805% Kotak Mahindra Prime 2020,Non Convertible Debenture,AAA,0.00 - 0.37,0.35
485. ICICI Prudential Fixed Maturity Plan - Series 81 1101 Days Plan C,,,,
8.53% TRIL IT4 2020,Debenture,A+,0.00 - 9.27,9.27
7.9% Nirma 2020,Debenture,AA,5.86 - 9.43,9.25
8.71% Bombay Burmah 2020,Debenture,AA,8.22 - 8.77,8.22
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,8.21 - 8.78,8.21
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,8.20 - 8.75,8.2
9.72% JSW Steel 2019,Debenture,AA,7.90 - 8.60,7.9
CLP Wind Farms (India) 2020,Bonds/Debentures,AA,7.88 - 8.47,7.88
8.29% Century Textiles & Inds. 2020,Bonds,AA,7.85 - 8.43,7.85
9% Muthoot Finance 2020,Debenture,AA,7.11 - 7.64,7.11
8.49% HDFC 2020,Debenture,AAA,0.00 - 5.72,5.39
8.45% TGS Investment & Trade 2020,Debenture,AA-,0.00 - 4.36,4.27
7.57% Can Fin Homes 2020,Non Convertible Debenture,AA+,0.00 - 3.54,3.41
8.5% Muthoot Finance 2020,Debenture,AA,0.00 - 1.92,1.92
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.16,1.15
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.00 - 1.12,1.08
486. ICICI Prudential Fixed Maturity Plan - Series 81 1101 Days Plan E,,,,
8.9% AU Small Finance Bank 2020,Non Convertible Debenture,AA-,8.25 - 8.85,8.25
8.19% Tata Housing Devp. Co. 2020,Bonds/Debentures,AA,8.24 - 8.82,8.24
