Company,Instrument,Credit Rating,1Y Range,% Assets
JM Financial Products 2021,Debenture,AA,9.41 - 9.53,9.47
JM Fin Asset Reconstruction co 2021,Zero Coupon Bonds,AA-,9.44 - 9.56,9.44
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,9.14 - 9.54,9.14
9.1% Jubilant Life Sciences 2021,Non Convertible Debenture,AA,8.94 - 9.50,8.94
9.18% Vedanta 2021,Debenture,AA,8.84 - 9.42,8.85
9.55% Edelweiss Rural & Corporate Services 2021,Non Convertible Debenture,AA-,0.00 - 8.96,8.78
9.23% Talwandi Sabo Power 2021,Debenture,AA,8.77 - 9.39,8.77
7.5% Tata Motors 2021,Debenture,AA-,0.00 - 8.68,8.60
9.4041% L&T Housing Finance 2021,Debenture,AAA,6.30 - 6.69,6.30
Aditya Birla Fashion and Retail 2021,Non Convertible Debenture,AA,3.84 - 3.90,3.88
Edelweiss Housing Finance 2021,Deep Discount Bonds,AA-,0.00 - 1.86,1.81
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.00 - 0.47,0.45
7.4% Tata Motors 2021,Bonds,AA-,0.00 - 0.09,0.09
1253. UTI Fixed Term Income Fund - Series XXX - IX (1266 Days) - Regular Plan
KKR India Financial Services 2022,Debenture,AA+,0.00 - 10.07,10.00
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,9.65 - 10.00,9.70
9.3772% L&T Housing Finance 2022,Debenture,AAA,9.41 - 9.97,9.41
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,0.00 - 9.44,9.02
8.65% Afcons Infrastructure 2022,Debenture,AA,8.96 - 9.52,8.96
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.75 - 9.21,8.75
Aditya Birla Fashion and Retail 2021,Non Convertible Debenture,AA,8.47 - 8.59,8.59
8.21% Haryana State 2022,State Development Loan,SOV,7.98 - 8.45,8.00
8.04% Vodafone Idea 2022,Debenture,A,0.00 - 8.04,7.64
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,0.00 - 7.81,7.34
9.55% Edelweiss Rural & Corporate Services 2021,Non Convertible Debenture,AA-,0.00 - 2.68,2.65
9.1% Shriram Transport Finance 2021,Debenture,AA+,1.79 - 1.97,1.83
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,0.00 - 1.29,1.25
8.6% ONGC Petro Additions 2022,Debenture,AAA,0.00 - 0.83,0.79
1254. UTI Fixed Term Income Fund - Series XXX - V (1135 Days) - Regular Plan
7.47% Power Finance Corp. 2021,Bonds,AAA,11.04 - 11.77,11.04
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,10.83 - 11.64,10.83
7.24% REC 2021,Debenture,AAA,10.57 - 11.29,10.57
8.8% Tata Capital Financial Services 2021,Debenture,AAA,9.08 - 9.76,9.08
9.38% Export-Import Bank 2021,Bonds,AAA,8.55 - 9.18,8.55
8.4% SIDBI 2021,Debenture,AAA,8.45 - 8.96,8.45
8.75% LIC Housing Fin. 2021,Debenture,AAA,8.31 - 8.93,8.31
8.9492% L&T Finance 2021,Non Convertible Debenture,AAA,8.15 - 8.89,8.15
8.85% Power Grid Corporation 2021,Bonds,AAA,8.15 - 8.72,8.15
8.59% Punjab State 2021,State Development Loan,SOV,4.02 - 4.46,4.24
9.35% Power Grid Corporation 2021,Bonds/NCDs,AAA,2.73 - 2.93,2.73
Axis Finance 2021,Zero Coupon Bonds,AAA,1.20 - 1.21,1.21
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.00 - 0.52,0.50
1255. UTI Fixed Term Income Fund - Series XXX - VI (1107 Days) - Regular Plan
Aditya Birla Fashion and Retail 2021,Non Convertible Debenture,AA,9.86 - 10.70,10.70
JM Fin Asset Reconstruction co 2021,Zero Coupon Bonds,AA-,9.64 - 10.43,10.43
Aditya Birla Housing Finance 2021,Debenture,AAA,9.31 - 10.23,10.23
9.4041% L&T Housing Finance 2021,Debenture,AAA,9.31 - 9.93,9.93
9.1% Jubilant Life Sciences 2021,Non Convertible Debenture,AA,8.69 - 9.30,9.30
9.55% Edelweiss Rural & Corporate Services 2021,Non Convertible Debenture,AA-,0.00 - 9.13,9.13
9.23% Talwandi Sabo Power 2021,Debenture,AA,8.44 - 9.12,9.12
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,8.49 - 9.09,9.09
7.5% Tata Motors 2021,Debenture,AA-,0.00 - 7.83,7.83
9.18% Vedanta 2021,Debenture,AA,5.31 - 5.75,5.75
Altico Capital India 2021,Deep Discount Bonds,D,0.00 - 2.69,2.69
1256. UTI Fixed Term Income Fund - Series XXX - VIII (1286 Days) - Regular Plan
8.21% Haryana State 2022,State Development Loan,SOV,16.13 - 17.25,16.13
Aditya Birla Finance 2022,Debenture,AAA,9.76 - 9.89,9.84
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,0.00 - 9.88,9.31
9.4756% Tata Capital Financial Services 2022,Non Convertible Debenture,AAA,9.25 - 9.95,9.26
9.3772% L&T Housing Finance 2022,Debenture,AAA,8.89 - 9.79,8.89
9.95% Food Corporation of India 2022,Bonds,AAA,7.92 - 8.58,7.92
9.25% Export-Import Bank 2022,Bonds,AAA,7.86 - 8.41,7.86
7.35% BPCL 2022,Bonds,AAA,7.56 - 8.04,7.56
6.7% IRFC 2021,Bonds/NCDs,AAA,7.43 - 7.86,7.43
7.14% REC 2021,Bonds,AAA,7.41 - 7.94,7.41
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.00 - 1.75,1.67
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 0.16,0.15
1257. UTI Fixed Term Income Fund - Series XXX - X (1267 Days) - Regular Plan
8.21% Haryana State 2022,State Development Loan,SOV,21.70 - 22.43,21.70
Aditya Birla Finance 2022,Debenture,AAA,9.95 - 10.08,10.05
Fullerton India Credit 2022,Debenture,AAA,9.63 - 9.82,9.63
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,9.35 - 9.91,9.35
9.3772% L&T Housing Finance 2022,Debenture,AAA,9.08 - 9.87,9.08
9.95% Food Corporation of India 2022,Bonds,AAA,7.46 - 8.02,7.46
9.25% Export-Import Bank 2022,Bonds,AAA,7.40 - 7.86,7.40
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,7.23 - 7.74,7.23
7.35% BPCL 2022,Bonds,AAA,7.12 - 7.53,7.12
7.4% Power Finance Corp. 2021,Bonds,AAA,2.53 - 2.69,2.53
6.7% IRFC 2021,Bonds/NCDs,AAA,2.10 - 2.21,2.10
8.49% Punjab State 2022,State Development Loan,SOV,0.00 - 1.49,1.46
1258. UTI Fixed Term Income Fund - Series XXX - XI (1246 Days) - Regular Plan
9.1791% Tata Capital Housing Finance 2022,Debenture,AAA,9.36 - 9.80,9.36
KKR India Financial Services 2022,Debenture,AA+,0.00 - 9.38,9.20
Aditya Birla Fashion and Retail 2021,Non Convertible Debenture,AA,9.03 - 9.08,9.03
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.80 - 9.33,8.80
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,8.67 - 9.24,8.67
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,8.60 - 8.98,8.60
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.34 - 8.86,8.34
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,0.00 - 8.95,8.29
8.65% Afcons Infrastructure 2022,Debenture,AA,8.28 - 8.86,8.28
8.46% HUDCO 2022,Non Convertible Debenture,AAA,7.68 - 8.05,7.68
8.21% Haryana State 2022,State Development Loan,SOV,5.41 - 5.70,5.41
Aditya Birla Finance 2022,Debenture,AAA,0.00 - 2.51,2.51
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,0.00 - 0.51,0.49
1259. UTI Fixed Term Income Fund - Series XXX - XII (1254 Days) - Regular Plan
8.21% Haryana State 2022,State Development Loan,SOV,19.14 - 20.29,19.14
Aditya Birla Finance 2022,Debenture,AAA,9.93 - 10.06,10.02
Fullerton India Credit 2022,Debenture,AAA,9.70 - 9.92,9.70
9.1791% Tata Capital Housing Finance 2022,Debenture,AAA,9.34 - 9.87,9.34
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,9.02 - 9.51,9.02
8.46% HUDCO 2022,Non Convertible Debenture,AAA,8.94 - 9.47,8.94
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,7.91 - 8.39,7.91
8.83% REC 2022,Non Convertible Debenture,AAA,5.26 - 5.59,5.26
8.45% REC 2022,Debenture,AAA,5.24 - 5.56,5.24
7.6% Nat. Highways Authority 2022,Bonds,AAA,5.19 - 5.46,5.19
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 2.71,2.61
8.49% Punjab State 2022,State Development Loan,SOV,1.65 - 2.46,2.39
8.13% Power Grid Corporation 2022,Bonds,AAA,0.00 - 0.55,0.53
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,0.00 - 0.50,0.48
1260. UTI Fixed Term Income Fund - Series XXX - XIII (1224 Days) - Regular Plan
Aditya Birla Housing Finance 2022,Debenture,AAA,9.96 - 10.13,10.10
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,9.57 - 9.97,9.57
KKR India Financial Services 2022,Debenture,AA+,0.00 - 9.42,9.24
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,9.19 - 9.77,9.19
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.82 - 9.33,8.82
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.79 - 9.30,8.79
8.65% Afcons Infrastructure 2022,Debenture,AA,8.66 - 9.24,8.66
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,0.00 - 9.23,8.56
8.6% ONGC Petro Additions 2022,Debenture,AAA,8.29 - 8.83,8.29
Aditya Birla Fashion and Retail 2021,Non Convertible Debenture,AA,5.28 - 5.32,5.29
8.4% HUDCO 2022,Non Convertible Debenture,AAA,3.00 - 3.13,3.00
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,0.00 - 1.49,1.43
8.39% Rajasthan State 2026,State Development Loan,SOV,1.31 - 1.37,1.31
8.21% Haryana State 2022,State Development Loan,SOV,1.20 - 1.26,1.20
Fullerton India Credit 2022,Debenture,AAA,0.00 - 0.74,0.73
9.55% Edelweiss Rural & Corporate Services 2021,Non Convertible Debenture,AA-,0.00 - 0.29,0.29
Aditya Birla Finance 2022,Debenture,AAA,0.00 - 0.11,0.11
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,0.00 - 0.10,0.10
1261. UTI Fixed Term Income Fund - Series XXX - XIV (1209 Days) - Regular Plan
KKR India Financial Services 2022,Debenture,AA+,0.00 - 9.61,9.42
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,9.25 - 9.57,9.25
8.45% REC 2022,Debenture,AAA,9.15 - 9.53,9.15
Aditya Birla Housing Finance 2022,Debenture,AAA,8.83 - 9.03,9.00
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.80 - 9.28,8.80
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,8.80 - 9.27,8.80
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,8.74 - 9.23,8.74
8.65% Afcons Infrastructure 2022,Debenture,AA,8.73 - 9.29,8.73
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.68 - 9.16,8.68
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,0.00 - 9.10,8.44
8.49% Punjab State 2022,State Development Loan,SOV,2.64 - 3.68,3.60
Fullerton India Credit 2022,Debenture,AAA,0.00 - 1.62,1.59
8.21% Haryana State 2022,State Development Loan,SOV,1.18 - 1.23,1.18
1262. UTI Fixed Term Income Fund - Series XXX - XV (1223 Days) - Regular Plan
8.49% Punjab State 2022,State Development Loan,SOV,15.35 - 17.42,16.96
Aditya Birla Housing Finance 2022,Debenture,AAA,9.78 - 9.91,9.84
Aditya Birla Finance 2022,Debenture,AAA,9.05 - 9.18,9.15
Fullerton India Credit 2022,Debenture,AAA,8.76 - 8.94,8.76
8.81% SIDBI 2022,Debenture,AAA,8.49 - 8.98,8.49
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,8.48 - 8.92,8.48
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.43 - 8.91,8.43
8.4% HUDCO 2022,Non Convertible Debenture,AAA,8.41 - 8.87,8.41
8.45% REC 2022,Debenture,AAA,8.38 - 8.87,8.38
9.95% Food Corporation of India 2022,Bonds,AAA,8.26 - 8.79,8.26
1263. UTI Fixed Term Income Fund - Series XXXI - I (1209 Days) - Regular Plan
LIC Housing Fin. 2022,Debenture,AAA,10.07 - 10.20,10.20
Fullerton India Credit 2022,Debenture,AAA,9.79 - 10.00,9.79
Aditya Birla Finance 2022,Debenture,AAA,9.62 - 9.76,9.71
9.95% Food Corporation of India 2022,Bonds,AAA,9.71 - 10.34,9.71
8.81% SIDBI 2022,Debenture,AAA,9.48 - 10.04,9.48
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,9.42 - 9.96,9.42
8.45% REC 2022,Debenture,AAA,9.36 - 9.91,9.36
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,9.23 - 9.72,9.23
8.46% HUDCO 2022,Non Convertible Debenture,AAA,8.92 - 9.43,8.92
8.6% ONGC Petro Additions 2022,Debenture,AAA,4.58 - 4.93,4.58
8.49% Punjab State 2022,State Development Loan,SOV,2.37 - 2.51,2.37
1264. UTI Fixed Term Income Fund - Series XXXI - II (1222 Days) - Regular Plan
Hero Housing Finance 2022,Deep Discount Bonds,AA+,0.00 - 9.91,9.91
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,9.17 - 9.68,9.17
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,8.72 - 9.22,8.72
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,0.00 - 9.28,8.60
KKR India Financial Services 2022,Debenture,AA+,0.00 - 8.42,8.23
8.49% Punjab State 2022,State Development Loan,SOV,7.92 - 8.29,8.09
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,7.91 - 8.34,7.91
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,7.65 - 7.99,7.65
8.65% Afcons Infrastructure 2022,Debenture,AA,7.27 - 7.73,7.27
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,7.22 - 7.62,7.22
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,5.10 - 9.27,5.10
Muthoot Finance 2022,Non Convertible Debenture,AA,0.00 - 3.75,3.57
2% Tata Steel 2022,Debenture,AA,0.00 - 1.94,1.91
Fullerton India Credit 2022,Debenture,AAA,0.00 - 1.78,1.75
9.18% Gruh Finance 2022,Non Convertible Debenture,AAA,0.42 - 0.44,0.42
1265. UTI Fixed Term Income Fund - Series XXXI - III (1174 Days) - Regular Plan
Aditya Birla Finance 2022,Debenture,AAA,11.91 - 12.08,12.02
Fullerton India Credit 2022,Debenture,AAA,11.80 - 12.05,11.80
8.81% SIDBI 2022,Debenture,AAA,10.88 - 11.41,10.88
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,10.81 - 11.32,10.81
8.46% HUDCO 2022,Non Convertible Debenture,AAA,9.30 - 9.73,9.30
9.95% Food Corporation of India 2022,Bonds,AAA,8.50 - 8.98,8.50
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,8.32 - 8.59,8.32
LIC Housing Fin. 2022,Debenture,AAA,7.22 - 7.31,7.31
8.21% Haryana State 2022,State Development Loan,SOV,6.75 - 7.08,6.75
8.27% REC 2022,Debenture,AAA,6.67 - 6.96,6.67
8.45% REC 2022,Debenture,AAA,2.69 - 2.81,2.69
1266. UTI Fixed Term Income Fund - Series XXXI - IV (1204 Days) - Regular Plan
Fullerton India Credit 2022,Debenture,AAA,9.78 - 9.96,9.78
Hero Housing Finance 2022,Deep Discount Bonds,AA+,0.00 - 9.74,9.74
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,9.50 - 9.76,9.50
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,9.41 - 9.87,9.41
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,9.03 - 9.39,9.03
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,9.00 - 9.42,9.00
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,8.93 - 9.36,8.93
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.82 - 9.25,8.82
8.65% Afcons Infrastructure 2022,Debenture,AA,8.75 - 9.26,8.75
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,8.49 - 9.16,8.49
9.1% Tamilnadu State 2022,State Development Loan,SOV,1.93 - 2.01,1.93
2% Tata Steel 2022,Debenture,AA,0.00 - 1.68,1.65
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,0.18 - 0.19,0.18
1267. UTI Fixed Term Income Fund - Series XXXI - IX (1168 Days) - Regular Plan
Bajaj Housing Finance 2022,Debenture,AAA,11.50 - 11.71,11.71
Fullerton India Credit 2022,Deep Discount Bonds,AAA,10.64 - 10.82,10.64
2% Tata Steel 2022,Debenture,AA,9.73 - 9.93,9.73
8.65% Afcons Infrastructure 2022,Debenture,AA,9.03 - 9.53,9.03
9.14% Zydus Wellness 2022,Debenture,AA+,8.75 - 9.11,8.75
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.58 - 8.94,8.58
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.46 - 8.85,8.46
Axis Finance 2022,Deep Discount Bonds,AAA,7.30 - 7.41,7.41
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,5.92 - 9.28,5.92
LIC Housing Fin. 2022,Bonds/NCDs,AAA,5.56 - 5.66,5.66
7.6% Jamnagar Utilities and Power 2022,Bonds,AAA,0.79 - 5.13,4.99
Muthoot Finance 2022,Non Convertible Debenture,AA,4.18 - 4.39,4.18
8.88% Gujarat State 2022,State Development Loan,SOV,0.00 - 1.87,1.84
1268. UTI Fixed Term Income Fund - Series XXXI - V (1174 Days) - Regular Plan
Fullerton India Credit 2022,Debenture,AAA,11.90 - 12.11,11.90
Hero Housing Finance 2022,Deep Discount Bonds,AA+,0.00 - 9.70,9.70
LIC Housing Fin. 2022,Debenture,AAA,8.84 - 9.01,9.01
8.48% Uttar Pradesh Power Corporation 2022,Structured Obligation,AA,8.96 - 9.39,8.96
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.95 - 9.41,8.95
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,8.94 - 9.31,8.94
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,8.89 - 9.33,8.89
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.83 - 9.28,8.83
8.65% Afcons Infrastructure 2022,Debenture,AA,8.69 - 9.21,8.69
2% Tata Steel 2022,Debenture,AA,2.49 - 4.65,4.57
Aditya Birla Finance 2022,Debenture,AAA,4.45 - 4.53,4.52
11.1% Hinduja Leyland Finance 2022,Non Convertible Debenture,AA-,2.60 - 2.81,2.60
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,1.08 - 1.40,1.37
1269. UTI Fixed Term Income Fund - Series XXXI - VI (1167 Days) - Regular Plan
LIC Housing Fin. 2022,Debenture,AAA,11.86 - 11.96,11.95
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.27 - 11.77,11.27
8.81% SIDBI 2022,Debenture,AAA,11.12 - 11.61,11.12
8.45% REC 2022,Debenture,AAA,10.98 - 11.44,10.98
Kotak Mahindra Investments 2022,Debenture,AAA,9.52 - 9.59,9.59
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,9.29 - 9.62,9.29
8.46% HUDCO 2022,Non Convertible Debenture,AAA,9.18 - 9.58,9.18
HDB Financial Services 2022,Debenture,AAA,7.39 - 7.45,7.45
9.95% Food Corporation of India 2022,Bonds,AAA,7.11 - 7.49,7.11
8.13% Power Grid Corporation 2022,Bonds,AAA,4.58 - 4.77,4.58
Aditya Birla Finance 2022,Debenture,AAA,1.50 - 1.51,1.50
8.3% Reliance Industries 2022,Debenture,AAA,1.14 - 1.18,1.14
1270. UTI Fixed Term Income Fund - Series XXXI - VII (1155 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.75 - 11.93,11.93
HDB Financial Services 2022,Debenture,AAA,11.77 - 11.89,11.89
2% Tata Steel 2022,Debenture,AA,9.45 - 9.69,9.45
9.14% Zydus Wellness 2022,Debenture,AA+,9.21 - 9.62,9.21
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,9.11 - 9.49,9.11
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,9.02 - 9.44,9.02
8.65% Afcons Infrastructure 2022,Debenture,AA,8.96 - 9.50,8.96
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.90 - 9.35,8.90
9.35% Gruh Finance 2022,Non Convertible Debenture,AAA,7.55 - 7.80,7.55
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,5.66 - 9.16,5.66
LIC Housing Fin. 2022,Bonds/NCDs,AAA,0.00 - 4.79,4.79
1271. UTI Fixed Term Income Fund - Series XXXI - VIII (1153 Days) - Regular Plan
8.21% Haryana State 2022,State Development Loan,SOV,14.42 - 14.97,14.42
LIC Housing Fin. 2022,Debenture,AAA,11.94 - 12.03,12.03
HDB Financial Services 2022,Debenture,AAA,11.83 - 11.92,11.92
8.3% Reliance Industries 2022,Debenture,AAA,11.30 - 11.74,11.30
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.26 - 11.76,11.26
9.95% Food Corporation of India 2022,Bonds,AAA,9.41 - 9.91,9.41
8.23% HUDCO 2022,Non Convertible Debenture,AAA,7.31 - 7.62,7.31
7.6% Nat. Highways Authority 2022,Bonds,AAA,7.24 - 7.53,7.24
8.81% SIDBI 2022,Debenture,AAA,6.08 - 6.35,6.08
7.35% BPCL 2022,Bonds,AAA,3.62 - 3.76,3.62
8.49% Punjab State 2022,State Development Loan,SOV,0.00 - 1.15,1.11
8.46% HUDCO 2022,Non Convertible Debenture,AAA,0.73 - 0.77,0.73
1272. UTI Fixed Term Income Fund - Series XXXI - X (1168 Days) - Regular Plan
LIC Housing Fin. 2022,Bonds/NCDs,AAA,11.97 - 12.06,12.05
HDB Financial Services 2022,Debenture,AAA,11.62 - 11.68,11.68
8.45% REC 2022,Debenture,AAA,11.41 - 11.91,11.41
8.3% Reliance Industries 2022,Debenture,AAA,11.36 - 11.83,11.36
8.18% Power Finance Corp. 2022,Debenture,AAA,11.32 - 11.76,11.32
Bajaj Finance 2022,Zero Coupon Bonds,AAA,8.79 - 8.88,8.88
9.95% Food Corporation of India 2022,Bonds,AAA,8.45 - 8.91,8.45
8.13% Power Grid Corporation 2022,Bonds,AAA,8.16 - 8.51,8.16
8.58% HDFC 2022,Debenture,AAA,7.49 - 7.78,7.49
7.6% Jamnagar Utilities and Power 2022,Bonds,AAA,3.40 - 3.56,3.40
8.46% HUDCO 2022,Non Convertible Debenture,AAA,1.63 - 1.71,1.63
1273. UTI Fixed Term Income Fund - Series XXXI - XI (1169 Days) - Regular Plan
8.88% Gujarat State 2022,State Development Loan,SOV,20.74 - 26.67,26.14
7.42% Maharashtra State 2022,State Development Loan,SOV,20.93 - 21.67,20.93
8.87% Himachal Pradesh State 2022,State Development Loan,SOV,20.73 - 21.57,20.73
8.9% Tripura State 2022,State Development Loan,SOV,16.81 - 17.51,16.81
8.86% Andhra Pradesh State 2022,State Development Loan,SOV,7.20 - 7.51,7.20
8.87% Rajasthan State 2022,State Development Loan,SOV,5.03 - 5.24,5.03
1274. UTI Fixed Term Income Fund - Series XXXI - XII (1148 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.88 - 12.12,12.01
HDB Financial Services 2022,Debenture,AAA,11.86 - 12.10,11.97
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,10.90 - 11.20,10.90
2% Tata Steel 2022,Debenture,AA,9.75 - 9.93,9.75
8.3% Reliance Industries 2022,Debenture,AAA,9.66 - 9.91,9.66
8.65% Afcons Infrastructure 2022,Debenture,AA,9.47 - 9.93,9.47
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,9.41 - 9.77,9.41
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,9.11 - 9.43,9.11
8.58% HDFC 2022,Debenture,AAA,7.71 - 7.88,7.71
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,5.32 - 5.50,5.32
7.6% Jamnagar Utilities and Power 2022,Bonds,AAA,0.63 - 0.65,0.63
LIC Housing Fin. 2022,Bonds/NCDs,AAA,0.23 - 0.47,0.47
1275. UTI Fixed Term Income Fund - Series XXXI - XIII (1127 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.33 - 11.45,11.45
8.58% HDFC 2022,Debenture,AAA,11.25 - 11.48,11.25
2% Tata Steel 2022,Debenture,AA,9.68 - 9.84,9.68
8.3% Reliance Industries 2022,Debenture,AAA,9.35 - 9.56,9.35
9.14% Zydus Wellness 2022,Debenture,AA+,9.20 - 9.45,9.20
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,9.02 - 9.28,9.02
8.65% Afcons Infrastructure 2022,Debenture,AA,8.96 - 9.33,8.96
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.90 - 9.19,8.90
HDB Financial Services 2022,Debenture,AAA,8.68 - 8.76,8.76
LIC Housing Fin. 2022,Bonds/NCDs,AAA,5.90 - 5.95,5.95
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,3.77 - 3.86,3.77
1276. UTI Fixed Term Income Fund - Series XXXI - XIV (1111 Days) - Regular Plan
HDB Financial Services 2022,Debenture,AAA,11.81 - 12.15,12.15
LIC Housing Fin. 2022,Bonds/NCDs,AAA,10.22 - 10.51,10.51
2% Tata Steel 2022,Debenture,AA,10.04 - 10.24,10.07
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,9.87 - 10.06,9.87
9.14% Zydus Wellness 2022,Debenture,AA+,9.45 - 9.64,9.45
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,8.96 - 9.16,8.96
8.65% Afcons Infrastructure 2022,Debenture,AA,8.90 - 9.11,8.90
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,8.84 - 9.08,8.84
8.58% HDFC 2022,Debenture,AAA,8.07 - 8.19,8.07
8.45% REC 2022,Debenture,AAA,5.28 - 5.35,5.28
8.18% Power Finance Corp. 2022,Debenture,AAA,4.61 - 4.66,4.63
1277. UTI Fixed Term Income Fund - Series XXXI - XV (1099 Days) - Regular Plan
LIC Housing Fin. 2022,Bonds/NCDs,AAA,11.74 - 11.85,11.85
8.97% Uttar Pradesh Power Corporation 2022,Bonds,AA,9.57 - 9.73,9.57
2% Tata Steel 2022,Debenture,AA,9.51 - 9.66,9.51
8.75% Amba River Coke 2022,Non Convertible Debenture,AA,9.47 - 9.67,9.47
8.65% Afcons Infrastructure 2022,Debenture,AA,9.41 - 9.62,9.41
7.85% Indian Hotels 2022,Bonds/Debentures,AA+,9.35 - 9.59,9.35
9.14% Zydus Wellness 2022,Debenture,AA+,9.33 - 9.51,9.33
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,9.07 - 9.23,9.07
8.13% Power Grid Corporation 2022,Bonds,AAA,6.81 - 6.94,6.81
HDB Financial Services 2022,Debenture,AAA,5.13 - 5.17,5.17
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,4.44 - 4.51,4.44
8.58% HDFC 2022,Debenture,AAA,1.70 - 1.72,1.70
